餐厅名称,餐厅ID,市场,城市,订单TC,人工干预TC,去除大单TC,人工干预TC占比,准点率,30分钟内送达TC,30分钟送达TC占比,投诉TC,投诉TC占比,平均离店时间,等待骑手时间,等待餐点时间,订单平均完成时间,趟次,并单率,延时时间,宅急送营业时间,延时占营业时间,停单时间,停单占营业时间,骑手实际工作时间,CPH,到店违规占比,妥投违规占比,离店违规占比,到店违规TC,妥投违规TC,离店违规TC,准时TC,计费TC,
PSH518义乌江东购物店PH,	1135,杭州市场,金华市,113,15,112,13.27%,92.86%,60,53.57%,1,0.88%,20.4,12.7,7.7,31.1,89,1.27,348.2,4830,7.21%,43.8,0.91%,91.0,1.24,0.0000,0.0357,0.0268,0,4,3,104,113,
GZ2546扬名PH,	1674,深圳市场,珠海市,326,61,324,18.71%,98.43%,157,49.22%,1,0.31%,19.3,7.1,12.4,30.1,201,1.62,57.6,4830,1.19%,10.1,0.21%,217.8,1.50,0.0408,0.3041,0.0627,13,97,20,314,326,
PBJ713明光桥,	2290,北京市场,北京市,1493,11,1482,0.74%,98.1%,829,56.24%,5,0.33%,14.8,4.9,9.9,28.5,689,2.17,84.1,5040,1.67%,0.0,0%,666.0,2.24,0.0075,0.0624,0.0109,11,92,16,1446,1493,
PBJ286右安门店PH,	214,北京市场,北京市,952,13,948,1.37%,97.36%,677,71.49%,5,0.53%,15.0,3.3,11.6,25.3,533,1.79,11.9,5040,0.24%,0.0,0%,510.1,1.87,0.0021,0.0137,0.0063,2,13,6,922,955,
PS1732绍兴银泰店PHHS,	2369,杭州市场,绍兴市,521,78,519,14.97%,97.87%,309,59.77%,2,0.38%,18.9,8.7,10.2,29.9,341,1.53,96.5,5040,1.91%,5.0,0.1%,255.4,2.04,0.0213,0.0503,0.0213,11,26,11,506,522,
GZ2532八号仓PH,	249,深圳市场,深圳市,237,71,237,29.96%,99.58%,111,47.03%,0,0%,21.0,10.1,10.9,31.1,181,1.31,121.9,5040,2.42%,0.0,0%,290.6,0.82,0.0381,0.0339,0.0169,9,8,4,235,237,
PBJ760回龙观东店PHHS,	2701,北京市场,北京市,1390,24,1378,1.73%,94.16%,782,57.08%,2,0.14%,14.4,4.3,10.0,29.1,692,2.01,47.8,5040,0.95%,0.0,0%,657.2,2.11,0.0255,0.0314,0.0146,35,43,20,1290,1390,
PBJ307安贞门PH,	788,北京市场,北京市,317,15,313,4.73%,95.21%,152,48.56%,3,0.95%,19.1,6.8,12.3,31.2,206,1.54,127.6,5040,2.53%,120.3,2.39%,222.7,1.42,0.0064,0.0224,0.0096,2,7,3,298,318,
PBJ289大兴龙湖店PH,	971,北京市场,北京市,412,38,408,9.22%,97.54%,220,54.05%,2,0.49%,18.5,6.9,11.6,29.2,287,1.44,59.5,5040,1.18%,0.0,0%,256.7,1.60,0.0000,0.0295,0.0074,0,12,3,397,413,
PSH749上塘,	2335,杭州市场,杭州市,815,73,807,8.96%,98.01%,456,56.72%,4,0.49%,16.3,7.9,8.4,28.8,499,1.63,78.3,5040,1.55%,0.0,0%,428.0,1.90,0.0050,0.0174,0.0124,4,14,10,788,815,
PBJ309怀柔万达PH,	1743,北京市场,北京市,337,40,335,11.87%,97.89%,110,33.13%,2,0.59%,12.6,4.4,8.2,32.9,190,1.77,24.2,5040,0.48%,0.0,0%,316.2,1.07,0.0211,0.1928,0.0241,7,64,8,325,338,
PBJ109上地,	1686,北京市场,北京市,380,40,378,10.53%,87.8%,188,49.87%,7,1.84%,19.0,9.7,9.2,32.0,273,1.39,166.5,5040,3.3%,9.1,0.18%,240.9,1.58,0.0106,0.0186,0.0053,4,7,2,331,380,
PSH171杭州庆春广场,	1009,杭州市场,杭州市,406,31,400,7.64%,92%,208,52%,2,0.49%,22.4,9.6,12.9,31.2,257,1.58,181.7,4830,3.76%,7.7,0.16%,228.6,1.78,0.0475,0.0725,0.0250,19,29,10,368,406,
PSH559杭州浦沿物美店PH,	1044,杭州市场,杭州市,783,25,773,3.19%,95.98%,301,38.99%,6,0.77%,22.1,10.6,11.5,32.9,441,1.78,302.8,4830,6.27%,8.0,0.17%,360.0,2.17,0.0078,0.0997,0.0104,6,77,8,741,784,
GZ2572联投东方PH,	203,深圳市场,深圳市,160,2,159,1.25%,100%,128,80.5%,0,0%,13.5,4.1,9.4,24.7,131,1.22,0.0,4830,0%,0.0,0%,240.9,0.66,0.0000,0.0189,0.0000,0,3,0,159,160,
GZH768宝立方PHHS,	2473,深圳市场,深圳市,602,49,600,8.14%,94.83%,260,43.33%,5,0.83%,18.9,8.6,10.3,31.9,394,1.53,98.0,5040,1.94%,0.0,0%,410.5,1.47,0.0017,0.0633,0.0167,1,38,10,569,605,
PBJ268西红门理想城PH,	1227,北京市场,北京市,497,20,491,4.02%,95.3%,306,62.58%,6,1.21%,19.2,9.2,10.0,28.5,332,1.50,176.8,5040,3.51%,0.0,0%,255.1,1.95,0.0000,0.0143,0.0020,0,7,1,466,499,
PBJ033光明楼,	1615,北京市场,北京市,406,8,404,1.97%,99.5%,297,73.51%,2,0.49%,18.0,7.0,11.0,25.3,263,1.54,86.8,4410,1.97%,0.0,0%,199.8,2.03,0.0000,0.0025,0.0099,0,1,4,402,407,
GZH583君豪,	421,广州市场,东莞市,288,7,285,2.43%,96.84%,138,48.42%,2,0.69%,23.0,8.9,14.2,32.0,194,1.48,22.5,5040,0.45%,0.0,0%,242.3,1.19,0.0561,0.1018,0.0596,16,29,17,276,288,
GZ1838鼎盛广场店PH,	1638,广州市场,湛江市,249,13,249,5.22%,94.76%,89,35.89%,1,0.4%,14.8,7.7,7.0,32.4,199,1.25,52.8,4830,1.09%,0.9,0.02%,231.4,1.08,0.0000,0.0645,0.0000,0,16,0,235,249,
GZ2597大沥梦乐城PH,	582,广州市场,佛山市,118,10,117,8.47%,95.69%,54,46.55%,1,0.85%,16.6,8.3,8.2,30.6,107,1.10,26.7,4620,0.58%,0.0,0%,138.5,0.85,0.0000,0.0776,0.0086,0,9,1,111,118,
PSH517宁波北仑银泰店PH,	1134,杭州市场,宁波市,599,4,595,0.67%,92.44%,322,54.12%,3,0.5%,21.9,8.3,13.6,30.5,364,1.65,146.9,5040,2.92%,8.2,0.16%,331.6,1.81,0.0471,0.0487,0.0487,28,29,29,550,600,
GZH560中怡PH,	259,广州市场,广州市,148,15,145,10.14%,97.93%,68,46.9%,0,0%,19.6,8.1,11.7,31.5,112,1.32,326.0,5040,6.47%,8.0,0.16%,133.4,1.11,0.0207,0.0414,0.0552,3,6,8,142,147,
GZ1594世纪店PH,	1432,广州市场,中山市,289,4,287,1.38%,92.68%,124,43.21%,1,0.35%,19.1,6.4,12.7,31.8,216,1.34,135.8,4830,2.81%,10.9,0.23%,423.9,0.68,0.0488,0.1359,0.0767,14,39,22,266,290,
